 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch 
 1.15980000e-06  4.58862438e+00  4.58386790e+00  4.75647725e-06 
 1.16480000e-06  4.59325078e+00  4.58854682e+00  4.70396417e-06 
 1.16980000e-06  4.59782549e+00  4.59317346e+00  4.65202786e-06 
 1.17480000e-06  4.60234906e+00  4.59774840e+00  4.60066223e-06 
 1.17980000e-06  4.60682206e+00  4.60227220e+00  4.54986125e-06 
 1.18480000e-06  4.61124505e+00  4.60674543e+00  4.49961893e-06 
 1.18980000e-06  4.61561858e+00  4.61116865e+00  4.44992936e-06 
 1.19480000e-06  4.61994318e+00  4.61554240e+00  4.40078666e-06 
 1.19980000e-06  4.62421941e+00  4.61986722e+00  4.35218503e-06 
 1.20480000e-06  4.62844779e+00  4.62414367e+00  4.30411871e-06 
 1.20980000e-06  4.63262884e+00  4.62837226e+00  4.25658201e-06 
 1.21480000e-06  4.63676310e+00  4.63255353e+00  4.20956929e-06 
 1.21980000e-06  4.64085108e+00  4.63668801e+00  4.16307497e-06 
 1.22480000e-06  4.64489329e+00  4.64077619e+00  4.11709351e-06 
 1.22980000e-06  4.64889023e+00  4.64481861e+00  4.07161943e-06 
 1.23480000e-06  4.65284240e+00  4.64881575e+00  4.02664732e-06 
 1.23980000e-06  4.65675030e+00  4.65276813e+00  3.98217181e-06 
 1.24480000e-06  4.66061442e+00  4.65667623e+00  3.93818758e-06 
 1.24980000e-06  4.66443523e+00  4.66054054e+00  3.89468937e-06 
 1.25480000e-06  4.66821323e+00  4.66436156e+00  3.85167197e-06 
 1.25980000e-06  4.67194888e+00  4.66813975e+00  3.80913022e-06 
 1.26480000e-06  4.67564265e+00  4.67187559e+00  3.76705901e-06 
 1.26980000e-06  4.67929501e+00  4.67556956e+00  3.72545329e-06 
 1.27480000e-06  4.68290641e+00  4.67922210e+00  3.68430805e-06 
 1.27980000e-06  4.68647731e+00  4.68283369e+00  3.64361834e-06 
 1.28480000e-06  4.69000815e+00  4.68640477e+00  3.60337926e-06 
 1.28980000e-06  4.69349938e+00  4.68993579e+00  3.56358594e-06 
 1.29480000e-06  4.69695144e+00  4.69342721e+00  3.52423359e-06 
 1.29980000e-06  4.70036476e+00  4.69687945e+00  3.48531743e-06 
 1.30480000e-06  4.70373978e+00  4.70029294e+00  3.44683277e-06 
 1.30980000e-06  4.70707691e+00  4.70366813e+00  3.40877495e-06 
 1.31480000e-06  4.71037658e+00  4.70700544e+00  3.37113934e-06 
 1.31980000e-06  4.71363920e+00  4.71030528e+00  3.33392138e-06 
 1.32480000e-06  4.71686519e+00  4.71356807e+00  3.29711655e-06 
 1.32980000e-06  4.72005495e+00  4.71679423e+00  3.26072037e-06 
 1.33480000e-06  4.72320888e+00  4.71998415e+00  3.22472842e-06 
 1.33980000e-06  4.72632738e+00  4.72313824e+00  3.18913630e-06 
 1.34480000e-06  4.72941085e+00  4.72625691e+00  3.15393970e-06 
 1.34980000e-06  4.73245967e+00  4.72934054e+00  3.11913430e-06 
 1.35480000e-06  4.73547424e+00  4.73238952e+00  3.08471586e-06 
 1.35980000e-06  4.73845492e+00  4.73540424e+00  3.05068017e-06 
 1.36480000e-06  4.74140211e+00  4.73838509e+00  3.01702307e-06 
 1.36980000e-06  4.74431616e+00  4.74133242e+00  2.98374044e-06 
 1.37480000e-06  4.74719746e+00  4.74424663e+00  2.95082821e-06 
 1.37980000e-06  4.75004636e+00  4.74712808e+00  2.91828233e-06 
 1.38480000e-06  4.75286322e+00  4.74997712e+00  2.88609882e-06 
 1.38980000e-06  4.75564841e+00  4.75279413e+00  2.85427372e-06 
