 frequency       z_mag          
 7.58577575e+03  1.20120000e+02 
 7.67361489e+03  1.20120000e+02 
 7.76247117e+03  1.20120000e+02 
 7.85235635e+03  1.20120000e+02 
 7.94328235e+03  1.20120000e+02 
 8.03526122e+03  1.20120000e+02 
 8.12830516e+03  1.20120000e+02 
 8.22242650e+03  1.20120000e+02 
 8.31763771e+03  1.20120000e+02 
 8.41395142e+03  1.20120000e+02 
 8.51138038e+03  1.20120000e+02 
 8.60993752e+03  1.20120000e+02 
 8.70963590e+03  1.20120000e+02 
 8.81048873e+03  1.20120000e+02 
 8.91250938e+03  1.20120000e+02 
 9.01571138e+03  1.20120000e+02 
 9.12010839e+03  1.20120000e+02 
 9.22571427e+03  1.20120000e+02 
 9.33254301e+03  1.20120000e+02 
 9.44060876e+03  1.20120000e+02 
 9.54992586e+03  1.20120000e+02 
 9.66050879e+03  1.20120000e+02 
 9.77237221e+03  1.20120000e+02 
 9.88553095e+03  1.20120000e+02 
 1.00000000e+04  1.20120000e+02 
 1.01157945e+04  1.20120000e+02 
 1.02329299e+04  1.20120000e+02 
 1.03514217e+04  1.20120000e+02 
 1.04712855e+04  1.20120000e+02 
 1.05925373e+04  1.20120000e+02 
 1.07151931e+04  1.20120000e+02 
 1.08392691e+04  1.20120000e+02 
 1.09647820e+04  1.20120000e+02 
 1.10917482e+04  1.20120000e+02 
 1.12201845e+04  1.20120000e+02 
 1.13501082e+04  1.20120000e+02 
 1.14815362e+04  1.20120000e+02 
 1.16144861e+04  1.20120000e+02 
 1.17489755e+04  1.20120000e+02 
 1.18850223e+04  1.20120000e+02 
 1.20226443e+04  1.20120000e+02 
 1.21618600e+04  1.20120000e+02 
 1.23026877e+04  1.20120000e+02 
 1.24451461e+04  1.20120000e+02 
 1.25892541e+04  1.20120000e+02 
 1.27350308e+04  1.20120000e+02 
 1.28824955e+04  1.20120000e+02 
 1.30316678e+04  1.20120000e+02 
 1.31825674e+04  1.20120000e+02 
 1.33352143e+04  1.20120000e+02 
 1.34896288e+04  1.20120000e+02 
 1.36458314e+04  1.20120000e+02 
 1.38038426e+04  1.20120000e+02 
 1.39636836e+04  1.20120000e+02 
 1.41253754e+04  1.20120000e+02 
 1.42889396e+04  1.20120000e+02 
 1.44543977e+04  1.20120000e+02 
 1.46217717e+04  1.20120000e+02 
 1.47910839e+04  1.20120000e+02 
 1.49623566e+04  1.20120000e+02 
 1.51356125e+04  1.20120000e+02 
 1.53108746e+04  1.20120000e+02 
 1.54881662e+04  1.20120000e+02 
 1.56675107e+04  1.20120000e+02 
 1.58489319e+04  1.20120000e+02 
 1.60324539e+04  1.20120000e+02 
 1.62181010e+04  1.20120000e+02 
 1.64058977e+04  1.20120000e+02 
 1.65958691e+04  1.20120000e+02 
 1.67880402e+04  1.20120000e+02 
 1.69824365e+04  1.20120000e+02 
 1.71790839e+04  1.20120000e+02 
 1.73780083e+04  1.20120000e+02 
 1.75792361e+04  1.20120000e+02 
 1.77827941e+04  1.20120000e+02 
 1.79887092e+04  1.20120000e+02 
 1.81970086e+04  1.20120000e+02 
 1.84077200e+04  1.20120000e+02 
 1.86208714e+04  1.20120000e+02 
 1.88364909e+04  1.20120000e+02 
 1.90546072e+04  1.20120000e+02 
 1.92752491e+04  1.20120000e+02 
 1.94984460e+04  1.20120000e+02 
 1.97242274e+04  1.20120000e+02 
 1.99526231e+04  1.20120000e+02 
 2.01836636e+04  1.20120000e+02 
 2.04173794e+04  1.20120000e+02 
