 time            v(conn_pin)     v(gate)         v(gate_drive)  
 1.21407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.21907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.22407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.22907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.23407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.23907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.24407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.24907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.25407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.25907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.26407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.26907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.27407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.27907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.28407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.28907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.29407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.29907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.30407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.30907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.31407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.31907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.32407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.32907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.33407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.33907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.34407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.34907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.35407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.35907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.36407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.36907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.37407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.37907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.38407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.38907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.39407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.39907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.40407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.40907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.41407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.41907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.42407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.42907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.43407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.43907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.44407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.44907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.45407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.45907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.46407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.46907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.47407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.47907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.48407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
