 time            v(conn_pin)     v(gate)         v(mcu_gpio)     v_am_esd#branch
 2.35621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.36621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.37621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.38621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.39621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.40621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.41621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.42621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.43621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.44621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.45621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.46621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.47621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.48621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 2.49621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 2.50000000e-05  8.68000250e+00  1.07499875e-07  0.00000000e+00 -3.31962949e+00 
 2.50021561e-05  8.68012880e+00  1.63439735e-02  7.11498233e-02 -3.31987802e+00 
 2.50064682e-05  8.68031700e+00  7.78430420e-02  2.13449470e-01 -3.32024837e+00 
 2.50150924e-05  8.68050541e+00  2.81565870e-01  4.98048763e-01 -3.32061912e+00 
 2.50273543e-05  8.68058075e+00  6.53867446e-01  9.02691955e-01 -3.32076738e+00 
 2.50451465e-05  8.38417989e+00  1.22324390e+00  1.48983339e+00 -2.73750515e+00 
